Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
01550M0825A,BOLT,,8,,,6.44,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0830A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M08353,BOLT,,2.5,,,2.01,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0835A,BOLTINTAKE MANIFOLD(SX4 MINOR 2009,,6,,,4.83,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0840A,.BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0850A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0855A,BOLT,,8,,,6.44,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0860A,.BOLT,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0865A,BOLT,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M08703,BOLT 8X70,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0870A,BOLT 8X70,,12,,,9.66,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M08753,BOLT COMPRESSOR,,6.5,,,5.23,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0875A,BOLT,,10,,,8.05,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0880A,.BOLT,,11,,,8.86,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0890A,BOLT,,12,,,9.66,,20,,MGP,MARUTI,,,,,,,,,,,,84099191,,,
01550M1020A,BOLT,,8,,,6.44,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1025A,BOLT,,11,,,8.86,,20,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M1030A,BOLT,,12,,,9.66,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M10353,BOLTT/M SPACER(ZEND),,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1035A,BOLT,,9,,,7.25,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1040A,BOLT,,11,,,8.86,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1040C,BOLTENG RR TRQ ROD BRKT,,16,,,12.88,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M10453,BOLT T/M MTG,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1045A,BOLT,,12,,,9.66,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M10503,BOLT,,6,,,4.83,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M1055A,BOLTBLOCK & T/M CASE,,16,,,12.88,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M10603,BOLT,,7.5,,,6.04,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1060A,BOLT,,13,,,10.47,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1065A,BOLT,,14,,,11.27,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1070A,BOLT,,15,,,12.08,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1075A,BOLT,,15,,,12.08,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M1075C,BOLT ENG RR MTG BRKT NO2,,26,,,20.93,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1085A,BOLT,,14,,,11.27,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M1095A,BOLT,,19,,,15.30,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M12253,BOLT,,14.5,,,11.67,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1225A,BOLT,,9,,,7.25,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1245A,BOLT,,18,,,14.49,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M12553,BOLT,,16,,,12.88,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M1255A,BOLT,,22,,,17.71,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M12653,BOLTBLOCK AND T/M CASE,,18,,,14.49,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01551-0612C,SCREWHOOD LOCK BRACE,,51,,,41.06,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
