Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
547847600110,BRACKET ASSY PURGE VALVE MTG,, 68.00 ,18%,, 53.02 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547847606902,VAPOUR PIPE,, 793.00 ,18%,, 618.30 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547847608202,BRACKET FUEL PIPE CLAMP MTG(MOUNTING BRA,, 39.00 ,18%,, 30.41 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547847608203,BRACKET FUEL PIPE CLAMP MTG(MOUNTING BRA,, 27.00 ,18%,, 21.05 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547847608205,BRACKET FUEL PIPE CLAMP MTG(ENGINE BAY-R,, 13.00 ,18%,, 10.14 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547847608209,BRACKETFUEL PIPE CLAMP MTG,, 17.00 ,18%,, 13.25 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547849100107,FRONT PIPE ASSY,," 4,936.00 ",18%,," 3,848.60 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547849100108,EXHAUST PIPE ASSY INTERMEDIATE,," 11,290.00 ",18%,," 8,802.81 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089200,,,
547849100109,EXHAUST POST SILENCER ASSY,," 6,086.00 ",18%,," 4,745.25 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089200,,,
547849201603,HANGER BRACKET ASSYEXHAUST PIPE MTG,, 552.00 ,18%,, 430.39 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089200,,,
547849201604,HANGER BRACKET ASSYEXHAUST PIPE MTG,, 209.00 ,18%,, 162.96 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089200,,,
547849205301,GASKET ASSY,, 67.00 ,18%,, 52.24 ,,EA,,TELCO,TATA,,,,,,,,,,,,84841090,,,
547849207702,RUBBER HANGER,, 142.00 ,18%,, 110.72 ,,EA,,TELCO,TATA,,,,,,,,,,,,40169390,,,
547854200104,SENSOR ASSYADAS-FRONT,," 18,815.00 ",18%,," 14,670.06 ",,EA,,TELCO,TATA,,,,,,,,,,,,90318000,,,
547854209901,EMS ECU-HARDWARE,," 19,463.00 ",18%,," 15,175.30 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547854300101,BRACKETEMS ECU MTG,, 443.00 ,18%,, 345.41 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
547854600105,WIRING HARNESSCABIN,," 60,879.00 ",18%,," 47,467.36 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600107,WIRING HARNESSCABIN,," 61,460.00 ",18%,," 47,920.36 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600109,WIRING HARNESSCABIN,," 70,327.00 ",18%,," 54,833.96 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600111,WIRING HARNESSCABIN,," 77,364.00 ",18%,," 60,320.71 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600113,WIRING HARNESSPIGTAIL,," 1,742.00 ",18%,," 1,358.24 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600115,WIRING HARNESSPIGTAIL,," 2,179.00 ",18%,," 1,698.97 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600118,WIRING HARNESSFRONT,," 41,857.00 ",18%,," 32,635.90 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600120,WIRING HARNESSFRONT,," 41,971.00 ",18%,," 32,724.79 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600121,WIRING HARNESSFRONT,," 42,625.00 ",18%,," 33,234.71 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
