Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
A5P63300,GEAR BOX ASSEMBLY ASSY OF ZFS6361.5 8.9,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P63700,GEARBOX-6S850-LBPV 4X4,,208130,16,,174829.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P64100,ZFS636 6.93FGR0.84 OD LHD GEARBOX T15,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P64700,GEARBOX-6S850-8.97R,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P66600,ASSY OF 5 SPEED OD GEARBOX 596 FGR 17,,115500,16,,97020,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P67800,GEARBOX-9S1110-12.73R-FS T180-CAB CSO,,241180,16,,202591.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P68700,GEAR BOX WITH DELIVERY SUCTI,,8873310,16,,7453580.4,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P68800,GEAR BOX WITH DELIVERY SUCTI,,8345090,16,,7009875.6,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P69500,ASSY OF ZF6S850 8.51 FGR GB FACEWIDTH,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P71000,GEAR BOX ASSY-6S850 OD 6.72R,,459600,16,,386064,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P71300,GEAR BOX ASSY-6S850 OD 6.72R-SAE2 CL,,125920,16,,105772.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P72100,GEARBOX-S6-36-8.28R-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P74100,GEARBOX-6S850-6.72R-OD,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P74400,GEARBOX6S8506.72RODFS 1600,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P75900,GEAR BOX ASSY-6S850 OD 6.72R,,569040,16,,477993.6,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P76500,GEAR BOX ASSEMBLY indigenized AL 9S1310,,305980,16,,257023.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P77200,GEAR BOX ASSEMBLY MT ZF 6S850 OD 6.,,146650,16,,123186,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5R05100,AGB MOUNTING,,36290,32,,24677.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5W00500,WEBER CAB TILT SYSTEM FOR AVIA CAB ON N,,67580,32,,45954.4,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5Z03300,ASSEMBLY OF SUPD 10XX 3440 WB,,9370,32,,6371.6,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089200,
A5Z03400,ASSEMBLY OF SUPD  10XX 3940 W,,11780,24,,8952.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089200,
